ruc	anio	mes	aduana_codigo	aduana_nombre	agente_codigo	agente_nombre	pais_codigo	pais_nombre	fob_usd	fecha_consulta
20404057805	2025	10	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	1947935.74	2026-09-19T22:58:10.718Z
20404057805	2025	11	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	1699129.60	2026-09-19T22:58:10.718Z
20404057805	2026	1	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	CH	SWITZERLAND	385132.80	2026-09-19T22:58:10.718Z
20404057805	2026	1	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	BE	BELGIUM	229632.00	2026-09-19T22:58:10.718Z
20404057805	2026	2	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	311001.60	2026-09-19T22:58:10.718Z
20448277781	2025	1	118	MARITIMA DEL CALLAO	0221	PALACIOS & ASOCIADOS AGENTES DE ADUANA S.A	FR	FRANCE	82574.99	2026-09-19T23:27:29.864Z
20448277781	2025	2	118	MARITIMA DEL CALLAO	0221	PALACIOS & ASOCIADOS AGENTES DE ADUANA S.A	FR	FRANCE	65712.60	2026-09-19T23:27:29.864Z
20448277781	2025	3	118	MARITIMA DEL CALLAO	0221	PALACIOS & ASOCIADOS AGENTES DE ADUANA S.A	FR	FRANCE	72640.80	2026-09-19T23:27:29.864Z
20448277781	2025	8	118	MARITIMA DEL CALLAO	0221	PALACIOS & ASOCIADOS AGENTES DE ADUANA S.A	FR	FRANCE	86088.99	2026-09-19T23:27:29.864Z
20448277781	2025	10	118	MARITIMA DEL CALLAO	0221	PALACIOS & ASOCIADOS AGENTES DE ADUANA S.A	FR	FRANCE	86519.99	2026-09-19T23:27:29.864Z
20448277781	2025	12	118	MARITIMA DEL CALLAO	0221	PALACIOS & ASOCIADOS AGENTES DE ADUANA S.A	FR	FRANCE	85750.79	2026-09-19T23:27:29.864Z
20448277781	2026	1	118	MARITIMA DEL CALLAO	0221	PALACIOS & ASOCIADOS AGENTES DE ADUANA S.A	FR	FRANCE	63080.00	2026-09-19T23:27:29.864Z
20450105113	2025	1	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	88901.40	2026-09-19T23:27:29.864Z
20450105113	2025	2	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	93362.80	2026-09-19T23:27:29.864Z
20450105113	2025	3	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	50248.60	2026-09-19T23:27:29.864Z
20450105113	2025	3	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	BE	BELGIUM	59846.00	2026-09-19T23:27:29.864Z
20450105113	2025	4	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	50426.20	2026-09-19T23:27:29.864Z
20450105113	2025	5	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	47270.40	2026-09-19T23:27:29.864Z
20450105113	2025	6	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	60480.00	2026-09-19T23:27:29.864Z
20450105113	2025	8	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	93116.60	2026-09-19T23:27:29.864Z
20450105113	2025	10	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	20304.00	2026-09-19T23:27:29.864Z
20450105113	2025	10	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	LB	LEBANON	51300.00	2026-09-19T23:27:29.864Z
20450105113	2025	11	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	50426.20	2026-09-19T23:27:29.864Z
20450105113	2025	12	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	44370.00	2026-09-19T23:27:29.864Z
20450105113	2026	1	046	PAITA	9056	MARINA LOGISTICS S.A.C.	FR	FRANCE	25501.99	2026-09-19T23:27:29.864Z
20450105113	2026	3	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	50426.20	2026-09-19T23:27:29.864Z
20450105113	2026	3	046	PAITA	6158	AGENCIA DE ADUANA MACROMAR S.A.	ES	SPAIN	40111.50	2026-09-19T23:27:29.864Z
20452774705	2025	1	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	IT	ITALY	253357.96	2026-09-19T23:27:29.864Z
20452774705	2025	1	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	DE	GERMANY	246284.44	2026-09-19T23:27:29.864Z
20452774705	2025	2	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	NL	NETHERLANDS	238198.80	2026-09-19T23:27:29.864Z
20452774705	2025	9	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	DE	GERMANY	142427.50	2026-09-19T23:27:29.864Z
20452774705	2025	12	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	DE	GERMANY	144831.00	2026-09-19T23:27:29.864Z
20452774705	2025	12	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	US	UNITED STATES	77051.52	2026-09-19T23:27:29.864Z
20452774705	2026	4	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	BE	BELGIUM	829301.48	2026-09-19T23:27:29.864Z
20479595276	2025	1	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	JP	JAPAN	389217.09	2026-09-19T23:27:29.864Z
20479595276	2025	3	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	JP	JAPAN	389046.24	2026-09-19T23:27:29.864Z
20479595276	2025	8	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	SE	SWEDEN	306968.47	2026-09-19T23:27:29.864Z
20479595276	2025	8	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	CA	CANADA	248737.28	2026-09-19T23:27:29.864Z
20479595276	2025	8	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	125650.26	2026-09-19T23:27:29.864Z
20479595276	2025	9	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	170884.35	2026-09-19T23:27:29.864Z
20479595276	2025	9	046	PAITA	7620	TRANSITARIO INTERNACIONAL MULTIMODAL SAC	US	UNITED STATES	355578.04	2026-09-19T23:27:29.864Z
20479595276	2025	9	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	CA	CANADA	172489.66	2026-09-19T23:27:29.864Z
20479595276	2025	10	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	JP	JAPAN	470000.41	2026-09-19T23:27:29.864Z
