ruc	registrado	nombre_ppa	fecha_consulta
20493959574	true	COOPERATIVA AGRARIA DE SERVICIOS MUJERES TECNOLOGAS CACAOTERAS DE LA PROVINCIA DE HUALLAGA LTDA	2026-09-20T00:32:24.606Z
20494126819	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS RIO MAYO SHANAO	2026-09-20T00:32:24.606Z
20494145791	true	ASOCIACION ECOLOGICA Y DE PRODUCTORES AGROPECUARIOS SAN JOSE OBRERO	2026-09-20T00:32:24.606Z
20494699690	true	ASOCIACION DE PRODUCTORES DE CACAO ECOLOGICO DE KIMBIRI - APROCEK	2026-09-20T00:32:24.606Z
20494923832	true	ASOCIACION NUEVA ESPERANZA ALLPACHACA	2026-09-20T00:32:24.606Z
20494939160	true	ASOCIACION DE PRODUCTORES AGRICOLAS Y GANADEROS INTI RAYMI	2026-09-20T00:32:24.606Z
20495177697	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS DE CAMAYOC	2026-09-20T00:32:24.606Z
20517247805	true	COORDINADORA NACIONAL DE PRODUCTORES DE PAPA DEL PERU- CORPAPA	2026-09-20T00:32:24.606Z
20520081152	true	ASOCIACION DE PRODUCTORES AGRARIOS DE SUSAPAYA	2026-09-20T00:32:24.606Z
20520081233	true	ASOCIACION DE VITIVINICULTORES DE MOQUEGUA 'AVIMO'	2026-09-20T00:32:24.606Z
20521131218	true	ASOCIACION DE PRODUCTORES DE TUNA Y COCHINILLA-APROTYC	2026-09-20T00:32:24.606Z
20525839690	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS DE LA PROVINCIA DE MORROPON	2026-09-20T00:32:24.606Z
20525955843	true	COOPERATIVA AGRARIA ECOLÓGICA Y SOLIDARIA PIURA - CAES PIURA	2026-09-20T00:32:24.606Z
20525969551	true	COOPERATIVA AGRARIA DE PRODUCTORES DE BANANO, CACAO ORGANICO Y OTROS CULTIVOS AGRARIOS LTDA	2026-09-20T00:32:24.606Z
20526179367	true	COOPERATIVA AGRARIA DE USUARIOS ASPRAOSRA LTDA	2026-09-20T00:32:24.606Z
20526514689	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS ARTESANALES E INDUSTRIALES SAN FRANCISCO DE LOMA LARGA	2026-09-20T00:32:24.606Z
20526888686	true	CENTRAL DE COMUNIDADES CAMPESINAS DE RANRACANCHA	2026-09-20T00:32:24.606Z
